127.0.0.1 - - [07/Jan/2022:10:17:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:17:51 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:17:51 +0900] "GET /jsp/asset/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:17:51 +0900] "GET /jsp/asset/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:17:51 +0900] "GET /jsp/asset/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:17:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:17:53 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:17:53 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:17:53 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:17:53 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:17:54 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:17:54 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:17:54 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:17:54 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:20:31 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:20:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:20:32 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [07/Jan/2022:10:20:32 +0900] "GET /jsp/ex08_out.jsp HTTP/1.1" 200 700
